team_id,name,email,phone,phone_id,street,city,state,zip,dollar,pick
30,Jacob Douglas,okeufemom@eptidof.th,(417) 377-2320,172653,Celleb Avenue,Viidido,OK,40978,$8557.28,BLUE
31,Kenneth Daniel,zatiw@zadefna.wf,(550) 372-1612,620420,Eset Place,Corhimezi,NV,18527,$2476.15,RED
32,Ada Baker,na@go.cc,(812) 472-8581,445784,Ihgaf Square,Luebtep,MD,80956,$704.42,BLUE
33,Isabelle Mann,pobse@selnoh.ca,(958) 580-6305,408799,Wuke Extension,Noneon,ID,22907,$6437.68,RED
34,Janie Phillips,te@ru.tv,(219) 905-6391,395041,Focco View,Lesipni,MA,24644,$2324.85,RED
35,Joel Cunningham,suok@fince.tv,(972) 398-4166,103841,Jadbar Boulevard,Baatfo,NJ,65894,$9032.85,BLUE
36,Walter Maldonado,ut@fi.fi,(774) 212-5353,690074,Cuwuj Highway,Bigkobu,VA,69807,$338.34,RED
37,Elnora Blair,upmasi@wejzi.fr,(882) 358-8401,480000,Sikag View,Jachuaf,RI,36613,$8569.42,RED
38,Lou Sharp,zaze@deren.bs,(759) 910-5206,318087,Usehi Court,Awfajobe,TX,12628,$4759.06,RED
39,Caleb Lawson,gew@kuboszav.aw,(360) 556-9507,156946,Betor Path,Etaokvi,WY,41176,$707.33,BLUE
40,Maria Hernandez,pimawu@tulire.vi,(564) 229-5119,989170,Leneb Pass,Acavusoh,VA,18383,$1025.61,RED
41,Alexander Becker,bipefki@durnohve.ne,(375) 404-6759,796590,Ludsaw Junction,Tarugub,DE,31445,$4467.75,GREEN
42,Edna Reyes,ter@ihka.om,(778) 894-7260,392592,Bufur Key,Biwajosim,OR,15033,$9585.69,GREEN
43,Roger Cohen,sub@tez.gt,(811) 226-2773,206969,Celav Square,Sadgepof,FL,73071,$1054.78,BLUE
44,Verna Singleton,tep@amo.tn,(533) 615-6183,570771,Joona Heights,Macjavja,MS,41087,$5300.53,WHITE
45,Dora Chandler,ciborri@ta.il,(462) 983-7298,466396,Ketar Glen,Naldaod,NH,97595,$4431.31,WHITE
46,Catherine Butler,ka@novhim.fk,(330) 254-8422,949645,Lesna Loop,Paijokuf,SC,45196,$3699.36,WHITE
47,Aaron Morris,tauwe@fef.hk,(707) 281-5001,833069,Ekolaz Circle,Jehlopowa,NH,34212,$6067.78,BLUE
48,Ollie Maldonado,ufmi@bovwa.hu,(503) 676-3195,042080,Soril View,Zocozom,OH,47222,$8043.88,RED
49,Jayden Cain,ara@vuj.gh,(307) 999-7845,250744,Aculo Pass,Haajco,FL,89340,$1472.13,RED
50,Rosa Barker,ulasiaza@wafgin.pe,(208) 609-4093,018762,Utuici Drive,Mahedim,WI,92523,$4522.28,GREEN
51,Eula Johnson,zu@simiru.org,(271) 323-6389,570462,Zihtil Point,Filzeof,AR,98010,$1566.34,RED
52,Estella Warren,upcale@gus.ke,(435) 227-2410,831443,Tasnip Path,Editenve,UT,76321,$7642.66,GREEN
53,Ryan Lamb,atho@fib.tz,(883) 869-7514,784571,Tuta Road,Lojufuj,IA,62095,$4695.67,RED
54,Jorge Hart,ja@tabku.sk,(803) 469-1536,813495,Jiaco Loop,Ciwucu,RI,91235,$9380.26,BLUE
55,Derrick Little,veraj@wesim.li,(513) 949-3122,243174,Nenno Heights,Wegedfer,MI,01641,$2601.37,WHITE
56,Philip Castillo,daggu@nupcu.gl,(223) 215-9881,225337,Ivaco Trail,Uzedfuz,MS,32290,$9247.62,YELLOW
57,Michael Morgan,orziabu@fintud.je,(444) 912-1802,763111,Bangi Court,Vehamlo,SD,59792,$8992.14,YELLOW
58,Delia Adams,tobeloc@sawvis.in,(982) 817-7881,843647,Wogtu Glen,Abouhaoba,AZ,82765,$6830.26,WHITE
59,Alejandro Robbins,bigujvi@ire.pr,(821) 395-2745,943232,Wuec Glen,Vegnimtud,DC,80891,$699.91,RED
60,Sue McDaniel,ruame@hogili.pg,(661) 518-9262,384232,Ceho Way,Ibinasew,WI,97317,$6468.55,BLUE
61,Genevieve Allison,hokive@verluvpu.my,(622) 312-5416,362996,Jobna Way,Zulibwo,VT,77049,$3746.91,GREEN
62,Estelle Ferguson,meufoka@ligkof.kw,(874) 909-7876,141883,Usgej Drive,Kunohpuh,TN,63317,$3903.06,RED
63,Henrietta Wise,igi@mekle.pt,(245) 393-3994,793592,Tewomi Mill,Izazerud,WI,78319,$2608.01,GREEN
64,Henrietta Rodriquez,nimedri@hikedje.tl,(240) 344-5587,668160,Vohtam Avenue,Ferewko,VA,61155,$2988.44,GREEN
65,Jennie Jackson,ribleg@gi.mp,(507) 232-5965,702129,Piveb Terrace,Tenena,NJ,94485,$7055.45,GREEN
66,Rosa Warren,peguc@teow.nr,(347) 882-3383,210102,Bozge Pass,Logosel,FL,15623,$847.24,BLUE
67,Benjamin Ward,uveaju@beseg.au,(406) 475-6878,361605,Direza Circle,Jinimom,MD,81015,$1570.88,WHITE
68,Katherine Carlson,diwme@te.pr,(905) 287-2269,908160,Dahi Lane,Ekahika,WY,94937,$7354.83,GREEN
69,Adeline Mullins,zu@biwje.ng,(654) 706-6541,863463,Boir Heights,Tomardak,CT,16629,$2460.94,GREEN
70,Willie Garza,fihef@cilodofo.wf,(430) 518-1726,302863,Jilzac Point,Nufehowa,DC,62829,$4208.61,WHITE
71,Eugene Morales,iguc@dezlu.si,(219) 470-4893,668104,Ovfe Highway,Ereducti,IA,07007,$9444.10,BLUE
72,Sally Nash,oghu@icpicu.py,(802) 626-4464,802214,Ruufo Plaza,Kuudepi,MD,64019,$9786.57,RED
73,Jason Hale,mewipawa@lefoszo.tl,(201) 300-7046,007465,Erehu Parkway,Cujocreb,SC,58105,$6518.71,WHITE
74,Sarah Byrd,oriihhis@de.gov,(442) 239-7606,345157,Fekav Highway,Sileni,WA,45290,$6138.19,BLUE
75,Nancy Owens,asujardu@afe.es,(829) 990-7869,230125,Jiob Pass,Gokufra,VT,72751,$5099.36,BLUE
76,Etta Saunders,rinbitu@irekume.pf,(254) 531-1026,563681,Suhuw Boulevard,Hofjobo,MS,45717,$3835.72,BLUE
77,Carlos Snyder,vekle@da.no,(400) 273-2661,284681,Kubon Drive,Kekapo,WY,51224,$4658.36,WHITE
78,Leroy Allen,zis@zerapeb.pn,(815) 498-9634,002331,Muwzi Center,Pudowome,WY,50382,$2099.35,WHITE
79,Susan Wise,to@dotha.sn,(883) 543-1945,865841,Nanan Square,Hahcosi,WI,39776,$679.29,WHITE
80,Jack McGee,od@vijebiz.gd,(612) 729-5823,426389,Alefu Road,Wubzavun,OK,36538,$2016.38,BLUE
81,Harold Burke,naum@sizlam.tr,(654) 904-3935,154777,Buuk Pike,Famnipzo,OR,94988,$5802.41,RED
82,Abbie Reyes,ijula@ca.mh,(549) 882-1406,320305,Unno Pass,Baaksel,AR,02288,$9987.85,WHITE
83,Grace Goodman,evbud@cikdo.sl,(228) 396-9457,031309,Loflon View,Gaufca,DE,87636,$7134.21,BLUE
84,Mathilda Fisher,kedcoz@ug.lk,(480) 274-2080,693313,Nonne Junction,Muzoffa,OK,26127,$9434.31,GREEN
85,Linnie Santos,ap@kovidow.br,(416) 273-1271,954294,Uridug Boulevard,Mubofer,PA,00749,$2326.19,BLUE
86,Tommy Swanson,gokdu@heb.sb,(471) 991-6088,643381,Tefsow River,Lepetuwe,MA,25073,$9621.52,GREEN
87,Matthew Gilbert,pees@wad.bm,(942) 594-2195,697054,Rooca Extension,Findigip,KS,78330,$7948.02,YELLOW
88,Alberta Casey,zuibla@lej.bn,(965) 788-2454,914277,Tofim Loop,Zowjodo,KY,14491,$8618.37,WHITE
89,Nina Schneider,kepun@wustuiri.am,(778) 610-5243,281444,Wotna Plaza,Catobluz,NE,11661,$9269.69,WHITE
90,Ollie Sanders,zipzudup@fozferun.na,(460) 971-1653,957013,Sutid Grove,Ohizues,CT,72439,$6543.55,GREEN
91,Lulu Perez,gu@paut.co,(432) 817-7844,687984,Deko Way,Muwevtat,IN,61091,$9728.08,GREEN
92,Herbert Vaughn,route@ce.ec,(317) 522-3034,048629,Keej Trail,Akekobmuz,MS,64323,$3854.80,BLUE
93,Martha Shaw,ok@va.sb,(947) 247-9689,770645,Pudrok Street,Lebuewi,MO,65924,$1511.76,WHITE
94,Timothy Ellis,par@fi.ca,(819) 216-9823,984343,Babiva Road,Ulakuonu,TN,12010,$4496.41,RED
95,Ronald Snyder,kume@defupoh.td,(844) 905-4447,324188,Jaep Grove,Hupbedo,OH,26800,$454.30,YELLOW
96,Carl Kelly,hufefe@anu.mc,(668) 431-4297,558423,Dochu Point,Badrubra,KS,64958,$3197.05,RED
97,Hulda Myers,tojuha@zavafoocu.nc,(531) 998-9462,804781,Ruha View,Omcoca,IL,97782,$342.73,RED
98,Pearl Harper,icowaigi@caju.pm,(745) 670-9571,651487,Avub Circle,Ziliul,KY,42785,$4041.27,BLUE
99,Hester Welch,cofa@cifoz.pm,(438) 313-9693,199639,Avzus Loop,Sijvuho,ND,62892,$0.36,GREEN
100,Sam Chapman,zil@anlej.mv,(757) 878-3120,286922,Kefwez Trail,Otupudig,GA,42869,$4374.86,RED
